0, 40, 42, 50, 59
1, 63, 37, 27, 55
2, 17, 67, 36, 9
3, 19, 9, 62, 50
4, 61, 27, 1, 41
5, 49, 58, 60, 68
6, 14, 52, 11, 13
7, 8, 42, 15, 40
8, 7, 42, 0, 15
9, 36, 20, 2, 24
10, 46, 38, 29, 12
11, 39, 56, 37, 20
12, 46, 66, 29, 10
13, 43, 45, 32, 14
14, 6, 69, 13, 39
15, 42, 48, 19, 30
16, 59, 19, 35, 64
17, 44, 2, 67, 36
18, 23, 24, 9, 67
19, 44, 3, 17, 2
20, 41, 9, 36, 43
21, 29, 10, 12, 66
22, 9, 36, 24, 67
23, 18, 2, 67, 22
24, 9, 22, 67, 17
25, 35, 53, 55, 63
26, 34, 68, 60, 49
27, 37, 41, 63, 56
28, 51, 67, 70, 39
29, 21, 10, 12, 46
30, 36, 2, 56, 19
31, 53, 52, 43, 69
32, 43, 45, 13, 20
33, 57, 36, 44, 9
34, 68, 60, 22, 71
35, 25, 55, 1, 63
36, 9, 2, 56, 44
37, 27, 56, 41, 9
38, 46, 71, 10, 68
39, 11, 56, 44, 67
40, 0, 37, 7, 64
41, 56, 20, 27, 37
42, 15, 47, 48, 3
43, 32, 20, 45, 13
44, 17, 67, 36, 63
45, 43, 13, 32, 20
46, 71, 38, 68, 24
47, 48, 42, 0, 15
48, 47, 15, 42, 40
49, 5, 58, 68, 60
50, 64, 9, 3, 37
51, 28, 65, 2, 30
52, 69, 31, 53, 6
53, 69, 31, 52, 25
54, 71, 46, 29, 68
55, 35, 1, 63, 25
56, 41, 37, 36, 27
57, 33, 9, 36, 22
58, 5, 66, 49, 60
59, 16, 50, 45, 30
60, 68, 34, 46, 71
61, 4, 27, 41, 43
62, 64, 56, 67, 44
63, 27, 44, 37, 56
64, 50, 62, 56, 9
65, 70, 30, 2, 56
66, 58, 12, 60, 49
67, 2, 17, 44, 36
68, 34, 60, 46, 71
69, 52, 53, 31, 14
70, 65, 37, 62, 9
71, 46, 38, 24, 62
